cap_shape_surface,odor_capcolor,odor_freq,odor_poison_rate,label_num
convex_scaly,almond|brown,400,0.0,0
flat_scaly,anise|brown,400,0.0,0
flat_scaly,almond|brown,400,0.0,0
flat_scaly,anise|yellow,400,0.0,0
convex_smooth,anise|yellow,400,0.0,0
bell_scaly,almond|white,400,0.0,0
bell_smooth,anise|white,400,0.0,0
convex_scaly,almond|yellow,400,0.0,0
flat_fibrous,anise|white,400,0.0,0
convex_smooth,almond|yellow,400,0.0,0
bell_smooth,anise|yellow,400,0.0,0
flat_scaly,almond|yellow,400,0.0,0
convex_scaly,pungent|brown,256,1.0,1
convex_scaly,pungent|white,256,1.0,1
convex_smooth,anise|yellow,400,0.0,0
flat_fibrous,none|white,2776,0.031700287,0
bell_smooth,almond|yellow,400,0.0,0
convex_scaly,anise|yellow,400,0.0,0
flat_fibrous,none|gray,2776,0.031700287,0
bell_smooth,almond|white,400,0.0,0
convex_smooth,anise|white,400,0.0,0
convex_scaly,pungent|brown,256,1.0,1
convex_smooth,pungent|brown,256,1.0,1
bell_smooth,anise|white,400,0.0,0
bell_smooth,almond|yellow,400,0.0,0
flat_scaly,almond|brown,400,0.0,0
convex_scaly,anise|yellow,400,0.0,0
flat_scaly,anise|yellow,400,0.0,0
convex_scaly,almond|white,400,0.0,0
convex_smooth,almond|yellow,400,0.0,0
flat_fibrous,none|brown,2776,0.031700287,0
flat_fibrous,none|brown,2776,0.031700287,0
convex_fibrous,anise|yellow,400,0.0,0
flat_scaly,anise|yellow,400,0.0,0
flat_fibrous,none|brown,2776,0.031700287,0
flat_fibrous,none|gray,2776,0.031700287,0
convex_scaly,anise|brown,400,0.0,0
convex_scaly,anise|yellow,400,0.0,0
bell_smooth,almond|white,400,0.0,0
convex_smooth,anise|white,400,0.0,0
convex_scaly,almond|white,400,0.0,0
convex_fibrous,almond|yellow,400,0.0,0
bell_smooth,almond|yellow,400,0.0,0
convex_fibrous,none|brown,2776,0.031700287,0
convex_scaly,almond|white,400,0.0,0
flat_fibrous,none|gray,2776,0.031700287,0
bell_scaly,almond|white,400,0.0,0
convex_scaly,anise|yellow,400,0.0,0
convex_smooth,almond|white,400,0.0,0
bell_smooth,almond|yellow,400,0.0,0
bell_scaly,anise|white,400,0.0,0
convex_scaly,almond|brown,400,0.0,0
flat_smooth,none|gray,2776,0.031700287,0
convex_scaly,pungent|brown,256,1.0,1
bell_scaly,almond|white,400,0.0,0
bell_smooth,almond|yellow,400,0.0,0
convex_scaly,pungent|brown,256,1.0,1
convex_smooth,pungent|brown,256,1.0,1
flat_smooth,none|brown,2776,0.031700287,0
convex_smooth,pungent|brown,256,1.0,1
flat_fibrous,none|gray,2776,0.031700287,0
convex_scaly,anise|yellow,400,0.0,0
bell_scaly,anise|white,400,0.0,0
flat_scaly,anise|yellow,400,0.0,0
flat_scaly,anise|yellow,400,0.0,0
bell_scaly,anise|yellow,400,0.0,0
sunken_fibrous,none|brown,2776,0.031700287,0
convex_smooth,almond|white,400,0.0,0
bell_scaly,almond|yellow,400,0.0,0
flat_scaly,almond|yellow,400,0.0,0
flat_smooth,none|brown,2776,0.031700287,0
convex_smooth,anise|white,400,0.0,0
bell_scaly,anise|yellow,400,0.0,0
bell_scaly,anise|yellow,400,0.0,0
bell_scaly,almond|yellow,400,0.0,0
bell_smooth,anise|white,400,0.0,0
convex_scaly,almond|yellow,400,0.0,0
convex_scaly,almond|brown,400,0.0,0
sunken_fibrous,none|brown,2776,0.031700287,0
flat_scaly,almond|brown,400,0.0,0
convex_smooth,almond|white,400,0.0,0
flat_smooth,anise|yellow,400,0.0,0
convex_smooth,none|brown,2776,0.031700287,0
flat_scaly,almond|yellow,400,0.0,0
convex_scaly,pungent|brown,256,1.0,1
convex_smooth,anise|white,400,0.0,0
convex_fibrous,none|white,2776,0.031700287,0
bell_smooth,almond|white,400,0.0,0
convex_scaly,anise|white,400,0.0,0
flat_scaly,anise|yellow,400,0.0,0
convex_fibrous,none|brown,2776,0.031700287,0
convex_smooth,pungent|white,256,1.0,1
convex_scaly,pungent|white,256,1.0,1
convex_scaly,anise|white,400,0.0,0
bell_scaly,almond|white,400,0.0,0
convex_fibrous,almond|white,400,0.0,0
convex_scaly,pungent|white,256,1.0,1
convex_smooth,anise|white,400,0.0,0
convex_fibrous,none|gray,2776,0.031700287,0
convex_fibrous,none|brown,2776,0.031700287,0
bell_smooth,almond|white,400,0.0,0
convex_scaly,almond|brown,400,0.0,0
bell_scaly,almond|white,400,0.0,0
flat_scaly,anise|yellow,400,0.0,0
convex_scaly,anise|white,400,0.0,0
bell_scaly,anise|white,400,0.0,0
bell_scaly,almond|white,400,0.0,0
convex_smooth,pungent|brown,256,1.0,1
flat_smooth,almond|yellow,400,0.0,0
convex_scaly,almond|brown,400,0.0,0
bell_smooth,anise|yellow,400,0.0,0
flat_smooth,almond|white,400,0.0,0
bell_scaly,anise|yellow,400,0.0,0
bell_scaly,almond|yellow,400,0.0,0
bell_smooth,almond|yellow,400,0.0,0
flat_scaly,anise|yellow,400,0.0,0
convex_smooth,none|white,2776,0.031700287,0
bell_scaly,almond|yellow,400,0.0,0
convex_scaly,almond|brown,400,0.0,0
bell_smooth,anise|white,400,0.0,0
flat_scaly,anise|brown,400,0.0,0
convex_smooth,anise|white,400,0.0,0
convex_fibrous,none|brown,2776,0.031700287,0
convex_scaly,anise|brown,400,0.0,0
flat_fibrous,none|gray,2776,0.031700287,0
convex_smooth,anise|white,400,0.0,0
flat_fibrous,none|brown,2776,0.031700287,0
bell_scaly,almond|yellow,400,0.0,0
bell_smooth,almond|white,400,0.0,0
convex_smooth,almond|white,400,0.0,0
bell_smooth,anise|yellow,400,0.0,0
convex_scaly,almond|yellow,400,0.0,0
convex_smooth,almond|yellow,400,0.0,0
flat_fibrous,none|gray,2776,0.031700287,0
convex_scaly,almond|yellow,400,0.0,0
convex_scaly,pungent|brown,256,1.0,1
convex_scaly,almond|brown,400,0.0,0
convex_smooth,anise|yellow,400,0.0,0
bell_scaly,anise|white,400,0.0,0
convex_scaly,almond|yellow,400,0.0,0
sunken_fibrous,none|brown,2776,0.031700287,0
bell_scaly,anise|yellow,400,0.0,0
convex_smooth,anise|white,400,0.0,0
convex_smooth,almond|white,400,0.0,0
convex_smooth,pungent|brown,256,1.0,1
convex_fibrous,none|brown,2776,0.031700287,0
convex_scaly,anise|yellow,400,0.0,0
convex_scaly,pungent|brown,256,1.0,1
convex_scaly,anise|yellow,400,0.0,0
bell_scaly,anise|yellow,400,0.0,0
flat_scaly,anise|brown,400,0.0,0
convex_scaly,almond|white,400,0.0,0
convex_smooth,almond|yellow,400,0.0,0
convex_scaly,pungent|brown,256,1.0,1
convex_scaly,pungent|brown,256,1.0,1
bell_scaly,anise|yellow,400,0.0,0
convex_smooth,none|white,2776,0.031700287,0
convex_smooth,pungent|white,256,1.0,1
convex_scaly,anise|brown,400,0.0,0
bell_smooth,almond|white,400,0.0,0
convex_scaly,almond|yellow,400,0.0,0
convex_smooth,pungent|brown,256,1.0,1
bell_scaly,anise|yellow,400,0.0,0
bell_scaly,almond|white,400,0.0,0
flat_scaly,anise|yellow,400,0.0,0
bell_scaly,almond|white,400,0.0,0
convex_scaly,almond|yellow,400,0.0,0
bell_smooth,anise|yellow,400,0.0,0
convex_smooth,anise|yellow,400,0.0,0
bell_smooth,almond|yellow,400,0.0,0
bell_smooth,almond|yellow,400,0.0,0
convex_scaly,pungent|white,256,1.0,1
convex_scaly,pungent|white,256,1.0,1
convex_smooth,pungent|brown,256,1.0,1
convex_smooth,almond|white,400,0.0,0
convex_scaly,almond|brown,400,0.0,0
convex_scaly,almond|yellow,400,0.0,0
convex_smooth,almond|white,400,0.0,0
bell_scaly,anise|white,400,0.0,0
bell_smooth,anise|yellow,400,0.0,0
convex_fibrous,none|gray,2776,0.031700287,0
bell_smooth,almond|yellow,400,0.0,0
convex_smooth,anise|white,400,0.0,0
convex_scaly,almond|brown,400,0.0,0
convex_scaly,anise|yellow,400,0.0,0
flat_fibrous,anise|white,400,0.0,0
flat_fibrous,almond|white,400,0.0,0
convex_smooth,anise|white,400,0.0,0
flat_smooth,anise|yellow,400,0.0,0
sunken_fibrous,none|gray,2776,0.031700287,0
flat_fibrous,almond|yellow,400,0.0,0
convex_scaly,anise|brown,400,0.0,0
convex_scaly,anise|yellow,400,0.0,0
convex_scaly,anise|yellow,400,0.0,0
convex_smooth,pungent|brown,256,1.0,1
convex_smooth,anise|yellow,400,0.0,0
convex_scaly,pungent|white,256,1.0,1
convex_scaly,almond|yellow,400,0.0,0
convex_scaly,almond|white,400,0.0,0
flat_smooth,almond|yellow,400,0.0,0
convex_scaly,pungent|brown,256,1.0,1
bell_smooth,almond|white,400,0.0,0
sunken_fibrous,none|gray,2776,0.031700287,0
convex_smooth,almond|yellow,400,0.0,0
convex_fibrous,none|gray,2776,0.031700287,0
convex_scaly,almond|yellow,400,0.0,0
bell_scaly,anise|white,400,0.0,0
bell_smooth,anise|yellow,400,0.0,0
convex_smooth,anise|white,400,0.0,0
bell_smooth,anise|white,400,0.0,0
flat_scaly,almond|brown,400,0.0,0
sunken_fibrous,none|gray,2776,0.031700287,0
convex_fibrous,none|white,2776,0.031700287,0
sunken_fibrous,none|brown,2776,0.031700287,0
flat_scaly,anise|brown,400,0.0,0
flat_smooth,anise|yellow,400,0.0,0
bell_smooth,almond|yellow,400,0.0,0
bell_smooth,almond|yellow,400,0.0,0
convex_smooth,pungent|brown,256,1.0,1
flat_scaly,anise|brown,400,0.0,0
convex_smooth,almond|yellow,400,0.0,0
flat_scaly,almond|yellow,400,0.0,0
convex_scaly,almond|white,400,0.0,0
convex_scaly,almond|yellow,400,0.0,0
convex_scaly,anise|yellow,400,0.0,0
flat_fibrous,none|brown,2776,0.031700287,0
flat_scaly,anise|yellow,400,0.0,0
convex_fibrous,none|gray,2776,0.031700287,0
convex_smooth,anise|yellow,400,0.0,0
flat_scaly,almond|brown,400,0.0,0
convex_smooth,anise|yellow,400,0.0,0
convex_scaly,almond|yellow,400,0.0,0
convex_fibrous,none|brown,2776,0.031700287,0
convex_smooth,almond|white,400,0.0,0
convex_scaly,anise|yellow,400,0.0,0
convex_scaly,almond|white,400,0.0,0
convex_smooth,anise|white,400,0.0,0
flat_scaly,anise|yellow,400,0.0,0
bell_smooth,anise|yellow,400,0.0,0
flat_fibrous,almond|white,400,0.0,0
flat_smooth,none|gray,2776,0.031700287,0
convex_scaly,almond|white,400,0.0,0
convex_scaly,anise|white,400,0.0,0
flat_scaly,anise|yellow,400,0.0,0
convex_smooth,almond|white,400,0.0,0
convex_smooth,almond|yellow,400,0.0,0
flat_scaly,almond|yellow,400,0.0,0
convex_scaly,almond|yellow,400,0.0,0
convex_smooth,anise|yellow,400,0.0,0
convex_fibrous,none|brown,2776,0.031700287,0
flat_scaly,anise|yellow,400,0.0,0
convex_smooth,almond|white,400,0.0,0
bell_smooth,almond|yellow,400,0.0,0
convex_smooth,anise|yellow,400,0.0,0
convex_scaly,anise|brown,400,0.0,0
bell_scaly,almond|yellow,400,0.0,0
convex_smooth,anise|white,400,0.0,0
convex_scaly,anise|white,400,0.0,0
convex_smooth,anise|yellow,400,0.0,0
flat_scaly,anise|yellow,400,0.0,0
convex_fibrous,none|white,2776,0.031700287,0
convex_smooth,none|brown,2776,0.031700287,0
convex_smooth,none|white,2776,0.031700287,0
convex_smooth,anise|yellow,400,0.0,0
flat_fibrous,none|white,2776,0.031700287,0
flat_smooth,pungent|brown,256,1.0,1
convex_fibrous,none|gray,2776,0.031700287,0
flat_scaly,pungent|brown,256,1.0,1
convex_smooth,pungent|brown,256,1.0,1
bell_smooth,anise|white,400,0.0,0
convex_fibrous,none|gray,2776,0.031700287,0
convex_smooth,anise|white,400,0.0,0
flat_fibrous,none|gray,2776,0.031700287,0
convex_smooth,none|gray,2776,0.031700287,0
convex_smooth,almond|white,400,0.0,0
convex_smooth,anise|white,400,0.0,0
convex_scaly,none|gray,2776,0.031700287,0
flat_fibrous,none|brown,2776,0.031700287,0
convex_smooth,none|white,2776,0.031700287,0
flat_fibrous,none|brown,2776,0.031700287,0
convex_smooth,none|brown,2776,0.031700287,0
convex_scaly,anise|yellow,400,0.0,0
convex_smooth,anise|yellow,400,0.0,0
flat_fibrous,none|white,2776,0.031700287,0
convex_smooth,none|brown,2776,0.031700287,0
convex_smooth,none|gray,2776,0.031700287,0
convex_scaly,pungent|brown,256,1.0,1
convex_fibrous,none|gray,2776,0.031700287,0
bell_smooth,almond|white,400,0.0,0
convex_smooth,none|gray,2776,0.031700287,0
flat_fibrous,none|gray,2776,0.031700287,0
flat_smooth,pungent|brown,256,1.0,1
convex_smooth,anise|yellow,400,0.0,0
convex_fibrous,none|brown,2776,0.031700287,0
flat_smooth,none|white,2776,0.031700287,0
convex_scaly,almond|yellow,400,0.0,0
convex_fibrous,none|brown,2776,0.031700287,0
flat_smooth,none|gray,2776,0.031700287,0
convex_scaly,none|red,2776,0.031700287,0
bell_scaly,almond|yellow,400,0.0,0
convex_fibrous,none|white,2776,0.031700287,0
convex_smooth,pungent|white,256,1.0,1
convex_fibrous,none|gray,2776,0.031700287,0
flat_fibrous,none|gray,2776,0.031700287,0
flat_fibrous,none|brown,2776,0.031700287,0
flat_fibrous,none|white,2776,0.031700287,0
bell_scaly,anise|white,400,0.0,0
flat_fibrous,none|brown,2776,0.031700287,0
flat_scaly,pungent|brown,256,1.0,1
convex_scaly,pungent|white,256,1.0,1
bell_smooth,anise|yellow,400,0.0,0
flat_smooth,none|gray,2776,0.031700287,0
convex_fibrous,none|gray,2776,0.031700287,0
flat_fibrous,none|brown,2776,0.031700287,0
bell_smooth,anise|white,400,0.0,0
convex_smooth,pungent|white,256,1.0,1
convex_scaly,none|brown,2776,0.031700287,0
flat_fibrous,anise|white,400,0.0,0
convex_scaly,anise|yellow,400,0.0,0
convex_fibrous,none|brown,2776,0.031700287,0
flat_fibrous,none|white,2776,0.031700287,0
convex_fibrous,none|brown,2776,0.031700287,0
convex_fibrous,none|brown,2776,0.031700287,0
flat_smooth,none|gray,2776,0.031700287,0
flat_smooth,none|gray,2776,0.031700287,0
flat_smooth,pungent|brown,256,1.0,1
convex_fibrous,none|brown,2776,0.031700287,0
convex_smooth,none|brown,2776,0.031700287,0
convex_fibrous,none|white,2776,0.031700287,0
flat_fibrous,none|brown,2776,0.031700287,0
convex_fibrous,none|brown,2776,0.031700287,0
flat_fibrous,none|brown,2776,0.031700287,0
convex_fibrous,none|gray,2776,0.031700287,0
flat_fibrous,none|brown,2776,0.031700287,0
convex_smooth,none|gray,2776,0.031700287,0
bell_scaly,anise|white,400,0.0,0
convex_fibrous,none|brown,2776,0.031700287,0
convex_scaly,anise|yellow,400,0.0,0
flat_fibrous,none|gray,2776,0.031700287,0
flat_fibrous,none|brown,2776,0.031700287,0
convex_smooth,anise|yellow,400,0.0,0
flat_fibrous,none|gray,2776,0.031700287,0
convex_fibrous,none|brown,2776,0.031700287,0
convex_smooth,pungent|white,256,1.0,1
convex_fibrous,none|white,2776,0.031700287,0
flat_fibrous,none|white,2776,0.031700287,0
convex_smooth,none|white,2776,0.031700287,0
convex_smooth,none|gray,2776,0.031700287,0
convex_scaly,anise|yellow,400,0.0,0
convex_smooth,anise|yellow,400,0.0,0
convex_smooth,none|gray,2776,0.031700287,0
convex_smooth,none|brown,2776,0.031700287,0
flat_fibrous,none|brown,2776,0.031700287,0
flat_smooth,none|white,2776,0.031700287,0
flat_smooth,none|white,2776,0.031700287,0
convex_scaly,anise|yellow,400,0.0,0
flat_smooth,almond|white,400,0.0,0
bell_smooth,anise|white,400,0.0,0
flat_scaly,pungent|white,256,1.0,1
convex_fibrous,none|gray,2776,0.031700287,0
flat_scaly,anise|brown,400,0.0,0
flat_smooth,none|brown,2776,0.031700287,0
convex_smooth,pungent|white,256,1.0,1
convex_scaly,anise|brown,400,0.0,0
convex_smooth,none|gray,2776,0.031700287,0
convex_smooth,none|white,2776,0.031700287,0
flat_fibrous,none|white,2776,0.031700287,0
convex_fibrous,none|brown,2776,0.031700287,0
convex_smooth,anise|white,400,0.0,0
convex_scaly,almond|white,400,0.0,0
convex_smooth,none|white,2776,0.031700287,0
flat_scaly,almond|yellow,400,0.0,0
flat_smooth,none|brown,2776,0.031700287,0
flat_fibrous,none|gray,2776,0.031700287,0
flat_fibrous,almond|yellow,400,0.0,0
flat_scaly,anise|brown,400,0.0,0
convex_fibrous,none|brown,2776,0.031700287,0
flat_smooth,pungent|brown,256,1.0,1
convex_fibrous,none|brown,2776,0.031700287,0
flat_fibrous,none|brown,2776,0.031700287,0
bell_smooth,almond|yellow,400,0.0,0
bell_scaly,almond|white,400,0.0,0
convex_scaly,almond|white,400,0.0,0
flat_scaly,pungent|white,256,1.0,1
flat_scaly,pungent|white,256,1.0,1
convex_fibrous,none|brown,2776,0.031700287,0
flat_smooth,anise|yellow,400,0.0,0
convex_scaly,anise|yellow,400,0.0,0
convex_smooth,none|white,2776,0.031700287,0
convex_fibrous,none|gray,2776,0.031700287,0
convex_scaly,pungent|brown,256,1.0,1
convex_fibrous,none|gray,2776,0.031700287,0
flat_fibrous,none|brown,2776,0.031700287,0
convex_smooth,none|white,2776,0.031700287,0
flat_fibrous,none|white,2776,0.031700287,0
convex_scaly,almond|yellow,400,0.0,0
flat_fibrous,almond|yellow,400,0.0,0
convex_fibrous,none|gray,2776,0.031700287,0
convex_smooth,pungent|brown,256,1.0,1
convex_scaly,almond|yellow,400,0.0,0
flat_scaly,almond|brown,400,0.0,0
convex_fibrous,none|white,2776,0.031700287,0
convex_scaly,none|brown,2776,0.031700287,0
convex_smooth,none|gray,2776,0.031700287,0
convex_smooth,almond|white,400,0.0,0
convex_fibrous,none|gray,2776,0.031700287,0
flat_scaly,pungent|brown,256,1.0,1
convex_fibrous,none|brown,2776,0.031700287,0
convex_fibrous,none|gray,2776,0.031700287,0
convex_fibrous,none|red,2776,0.031700287,0
convex_fibrous,none|brown,2776,0.031700287,0
convex_fibrous,none|gray,2776,0.031700287,0
convex_scaly,anise|yellow,400,0.0,0
convex_fibrous,none|brown,2776,0.031700287,0
bell_smooth,anise|yellow,400,0.0,0
convex_fibrous,anise|white,400,0.0,0
flat_smooth,none|gray,2776,0.031700287,0
convex_scaly,anise|yellow,400,0.0,0
convex_fibrous,none|brown,2776,0.031700287,0
flat_smooth,none|white,2776,0.031700287,0
convex_smooth,anise|yellow,400,0.0,0
convex_smooth,none|gray,2776,0.031700287,0
convex_fibrous,none|gray,2776,0.031700287,0
flat_scaly,pungent|white,256,1.0,1
flat_fibrous,anise|yellow,400,0.0,0
convex_scaly,almond|white,400,0.0,0
flat_fibrous,none|white,2776,0.031700287,0
convex_fibrous,none|brown,2776,0.031700287,0
convex_scaly,anise|brown,400,0.0,0
convex_smooth,none|white,2776,0.031700287,0
flat_scaly,pungent|white,256,1.0,1
convex_smooth,almond|yellow,400,0.0,0
convex_fibrous,none|gray,2776,0.031700287,0
flat_scaly,anise|yellow,400,0.0,0
flat_smooth,none|gray,2776,0.031700287,0
flat_fibrous,none|brown,2776,0.031700287,0
flat_scaly,pungent|white,256,1.0,1
flat_fibrous,none|gray,2776,0.031700287,0
convex_scaly,anise|brown,400,0.0,0
flat_fibrous,none|white,2776,0.031700287,0
flat_scaly,pungent|brown,256,1.0,1
bell_smooth,anise|yellow,400,0.0,0
flat_fibrous,none|gray,2776,0.031700287,0
bell_smooth,anise|white,400,0.0,0
flat_fibrous,none|gray,2776,0.031700287,0
bell_scaly,anise|white,400,0.0,0
convex_scaly,anise|white,400,0.0,0
flat_scaly,pungent|brown,256,1.0,1
convex_scaly,anise|yellow,400,0.0,0
sunken_fibrous,none|brown,2776,0.031700287,0
convex_scaly,almond|brown,400,0.0,0
flat_fibrous,none|gray,2776,0.031700287,0
flat_fibrous,anise|yellow,400,0.0,0
convex_smooth,none|gray,2776,0.031700287,0
flat_scaly,pungent|brown,256,1.0,1
convex_fibrous,none|gray,2776,0.031700287,0
convex_smooth,none|gray,2776,0.031700287,0
convex_fibrous,none|gray,2776,0.031700287,0
convex_scaly,pungent|brown,256,1.0,1
convex_fibrous,none|brown,2776,0.031700287,0
flat_smooth,none|white,2776,0.031700287,0
convex_fibrous,none|gray,2776,0.031700287,0
convex_scaly,pungent|brown,256,1.0,1
flat_fibrous,none|brown,2776,0.031700287,0
flat_smooth,none|white,2776,0.031700287,0
convex_scaly,pungent|white,256,1.0,1
flat_fibrous,none|gray,2776,0.031700287,0
bell_scaly,anise|yellow,400,0.0,0
convex_smooth,none|brown,2776,0.031700287,0
flat_fibrous,none|brown,2776,0.031700287,0
flat_smooth,pungent|white,256,1.0,1
convex_scaly,almond|brown,400,0.0,0
flat_fibrous,none|white,2776,0.031700287,0
flat_scaly,anise|brown,400,0.0,0
flat_fibrous,none|gray,2776,0.031700287,0
flat_fibrous,none|gray,2776,0.031700287,0
flat_smooth,none|gray,2776,0.031700287,0
flat_fibrous,none|brown,2776,0.031700287,0
convex_smooth,none|gray,2776,0.031700287,0
convex_fibrous,none|white,2776,0.031700287,0
flat_fibrous,none|white,2776,0.031700287,0
convex_smooth,none|brown,2776,0.031700287,0
convex_fibrous,none|brown,2776,0.031700287,0
flat_smooth,almond|yellow,400,0.0,0
convex_fibrous,none|white,2776,0.031700287,0
flat_smooth,none|white,2776,0.031700287,0
bell_smooth,almond|yellow,400,0.0,0
convex_fibrous,none|white,2776,0.031700287,0
convex_fibrous,none|gray,2776,0.031700287,0
flat_smooth,pungent|brown,256,1.0,1
convex_fibrous,none|gray,2776,0.031700287,0
convex_smooth,pungent|brown,256,1.0,1
flat_smooth,none|white,2776,0.031700287,0
convex_scaly,almond|white,400,0.0,0
convex_fibrous,none|brown,2776,0.031700287,0
convex_fibrous,none|brown,2776,0.031700287,0
bell_scaly,anise|yellow,400,0.0,0
flat_fibrous,none|white,2776,0.031700287,0
convex_smooth,none|brown,2776,0.031700287,0
flat_fibrous,none|white,2776,0.031700287,0
convex_fibrous,none|brown,2776,0.031700287,0
flat_fibrous,none|white,2776,0.031700287,0
convex_smooth,none|white,2776,0.031700287,0
convex_smooth,none|brown,2776,0.031700287,0
convex_fibrous,none|white,2776,0.031700287,0
flat_smooth,none|gray,2776,0.031700287,0
convex_fibrous,none|gray,2776,0.031700287,0
convex_fibrous,none|gray,2776,0.031700287,0
flat_smooth,none|brown,2776,0.031700287,0
flat_smooth,none|white,2776,0.031700287,0
flat_scaly,almond|brown,400,0.0,0
convex_scaly,pungent|white,256,1.0,1
flat_smooth,none|gray,2776,0.031700287,0
convex_scaly,pungent|white,256,1.0,1
bell_scaly,almond|white,400,0.0,0
convex_smooth,none|gray,2776,0.031700287,0
flat_fibrous,none|gray,2776,0.031700287,0
flat_fibrous,none|white,2776,0.031700287,0
flat_smooth,none|gray,2776,0.031700287,0
bell_scaly,almond|white,400,0.0,0
convex_fibrous,none|gray,2776,0.031700287,0
convex_fibrous,none|red,2776,0.031700287,0
convex_scaly,almond|yellow,400,0.0,0
convex_smooth,none|white,2776,0.031700287,0
bell_smooth,almond|white,400,0.0,0
convex_smooth,pungent|brown,256,1.0,1
convex_fibrous,none|brown,2776,0.031700287,0
flat_smooth,none|brown,2776,0.031700287,0
bell_smooth,almond|white,400,0.0,0
convex_smooth,none|gray,2776,0.031700287,0
convex_fibrous,none|brown,2776,0.031700287,0
flat_fibrous,none|white,2776,0.031700287,0
convex_fibrous,none|brown,2776,0.031700287,0
convex_fibrous,none|gray,2776,0.031700287,0
convex_fibrous,none|gray,2776,0.031700287,0
bell_scaly,anise|yellow,400,0.0,0
flat_fibrous,none|brown,2776,0.031700287,0
convex_fibrous,none|white,2776,0.031700287,0
flat_scaly,almond|brown,400,0.0,0
convex_scaly,anise|brown,400,0.0,0
convex_scaly,anise|yellow,400,0.0,0
flat_fibrous,none|gray,2776,0.031700287,0
convex_scaly,almond|white,400,0.0,0
convex_scaly,almond|white,400,0.0,0
flat_smooth,none|white,2776,0.031700287,0
flat_smooth,none|gray,2776,0.031700287,0
